Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Chezuba,Seed,20440.0,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with non-profits worldwide,Entrepreneurship,2018,,Nan
Ontrack technologies pvt. ltd,Seed,0.0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,Retail,2018,,Nan
Wealthtrust,Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Fintech,2018,,Nan
Faclon labs,Seed,0.0,Mumbai,Faclon is an iot and data analytics based tech startup building products to make cities and villages smart.,Iot,2018,,Nan
Awign enterprises,Seed,730000.0,Bangalore,Operations and manpower outsourcing startup,Supply chain,2018,,Nan
Collpoll,Seed,0.0,Bangalore,World-class enterprise system for education.,Education,2018,,Nan
Zyla health,Seed,0.0,New delhi,Zyla is transforming the way healthcare is delivered in india with specific focus on high-risk chronic patients.,Healthcare,2018,,Nan
Hubhopper,Series A,500000.0,New delhi,Get your daily dose of interest as summaries from news and magazine stories .,Digital media,2018,,Nan
Rubix108 technologies,Seed,1000000.0,Pune,Rubix total app makes it effortless for institutes to send home important information and updates about the day’s learning experiences.,Technology,2018,,Nan
Workflexi,Seed,146000.0,Bangalore,"Be smart, work on contract,be smart, hire on contract",Hr-tech,2018,,Nan
Streak,Seed,328500.0,Bangalore,Algorithmic trading platform.,Fintech,2018,,Nan
Kuants,Seed,73000.0,Gurgaon,Algorithmic trading platform.,Fintech,2018,,Nan
Niyo solutions,Series A,13200000.0,Bangalore,Niyo is a fintech company that helps salaried employees access company benefits and other financial services.,Fintech,2018,,Nan
Hippo video,Seed,0.0,Chennai,A video recording and sharing software.,It,2018,,Nan
Satvacart,Seed,0.0,Gurgaon,Satvacart is a gurgaon’s largest online supermarket,E-commerce,2018,,Nan
Daaki,Seed,0.0,Bangalore,Sports nutrition startup,Healthcare,2018,,Nan
Simulanis,Seed,500000.0,New delhi,A delhi-based augmented reality and virtual reality technology development company.,Edtech,2018,,Nan
My chiraag cab,Seed,1000000.0,Jaipur,My chiraag cab services pvt ltd,Hospitality,2018,,Nan
Wotu,Seed,0.0,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,Food and Beverages,2018,,Nan
Flathalt,Seed,50000.0,Gurgaon,Find your customized home here.,Fintech,2018,,Nan
True elements,Seed,730000.0,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,Food and Beverages,2018,,Nan
Trendlyne technologies,Seed,200000.0,Bangalore,Trendlyne technologies is a stock market analytics platform and marketplace for retail investors.,Fintech,2018,,Nan
Planys technologies,Series A,2046920.0,Chennai,Planys technologies is india’s first and only manufacturer of compact rovs providing underwater robotic inspection and survey solutions.,Robotics,2018,,Nan
Healthplix,Series A,3000000.0,Bangalore,Healthplix is a healthtech startup,Healthcare,2018,,Nan
Dishq,Seed,400000.0,Bangalore,Dishq leverages food science and machine learning (ai) to understand and predict people's tastes.,Fintech,2018,,Nan
Entropik technology,Seed,1100000.0,Bangalore,The boundaries between human and machines are shrinking fast.,AI,2018,,Nan
Myhq,Series A,500000.0,New delhi,Myhq turns your everyday coffee space into a perfect work zone. get an amazing work environment without paying any rent.,Startup hub,2018,,Nan
Trell,Seed,1250000.0,Bangalore,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,Fintech,2018,,Nan
Kidovators (by gyanlab),Seed,180000.0,Bangalore,Building future human capital through 21st century skills programs for k-12,Edtech,2018,,Nan
Log 9 materials,Seed,438000.0,Uttar pradesh,Log 9 materials is a nano-materials manufacturing and rnd startup,Technology,2018,,Nan
Vtion,Seed,280320.0,Gurgaon,Vtion is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,Media and marketing,2018,,Nan
Housingman.com,Seed,1503800.0,Bangalore,"New apartments, flats for sale in bangalore",Fintech,2018,,Nan
Steradian semiconductors,Seed,0.0,Bangalore,It is a fabless semiconductor company focused on cmos millimeter wave products for radar.,Fintech,2018,,Nan
Rupeecircle,Seed,584000.0,Mumbai,Rupeecircle is a new age finance company.,Finance,2018,,Nan
Wooden street,Series A,1000000.0,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,Home design,2018,,Nan
The ken,Series A,1500000.0,Bangalore,The ken is india’s first subscriptions-only business news site,Digital media,2018,,Nan
Saffronstays,Seed,2000000.0,Mumbai,Saffronstays connects travellers to india's incredible hosts.,Fintech,2018,,Nan
Vebbler,Seed,0.0,Bangalore,A personal network for close people,Social network,2018,,Nan
Foyr,Series A,4200000.0,Pune,"Foyr.com is india's first online, automated interior designer",Automation,2018,,Nan
Mengage,Seed,175000.0,Jaipur,Mengage is a mass consumer engagement application for doctors on both android and ios platforms.,Healthcare,2018,,Nan
Inner being wellness,Seed,511000.0,Hyderabad,"Inner being wellness manufactures beauty, wellness, and nutrition products.",Fintech,2018,,Nan
Kobster,Seed,0.0,Chennai,Kobster is a pioneer of b2b eprocurement and an emarketplace providing corporates an end-to-end solution for their procure-to-pay cycle.,E-commerce,2018,,Nan
Wishberry,Series A,1460000.0,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,Fintech,2018,,Nan
Mcxtra,Seed,1300000.0,Andheri,Mcxtra is a digital insurance broking startup.,Insurance,2018,,Nan
Magic crate,Seed,0.0,Bangalore,"Magic crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",Edtech,2018,,Nan
Smartvizx,Seed,1450000.0,Noida,It is a virtual reality solutions startup,Technology,2018,,Nan
Myseodoc,Seed,0.0,New delhi,"Seo, ppc, search engine marketing, social media optimization, content marketing, brand reputation management",Fintech,2018,,Nan
Enlyft digital solutions private limited,Seed,2920.0,Pune,Digital marketing agency,Fintech,2018,,Nan
Scale labs,Seed,1000000.0,New delhi,Scale labs is a cross border e-commerce solutions provider that drives global trade for brands.,Fintech,2018,,Nan
